sensor,spearman_r,absolute_spearman,signal
NRf,-0.39265585332676434,0.39265585332676434,MODERATE
NRc,-0.18432365008436533,0.18432365008436533,WEAK
Ps30,-0.18205682845399324,0.18205682845399324,WEAK
T50,-0.17289947952456816,0.17289947952456816,WEAK
T30,-0.14112164069883298,0.14112164069883298,WEAK
htBleed,-0.13901510929971736,0.13901510929971736,WEAK
Nc,-0.12990561606066067,0.12990561606066067,WEAK
T24,-0.1033615965276678,0.1033615965276678,WEAK
Nf,-0.09549995119285794,0.09549995119285794,WEAK
farB,-0.07320638011598568,0.07320638011598568,WEAK
epr,-0.06340687339635101,0.06340687339635101,WEAK
P15,-0.05062949781768701,0.05062949781768701,WEAK
phi,-0.041442091536709635,0.041442091536709635,WEAK
P30,-0.041085015083234484,0.041085015083234484,WEAK
P2,-0.018148624152863783,0.018148624152863783,WEAK
T2,-0.018038880861332946,0.018038880861332946,WEAK
PCNfR_dmd,0.012652486540368964,0.012652486540368964,WEAK
BPR,-0.009352608955601,0.009352608955601,WEAK
Nf_dmd,-0.00660765688825693,0.00660765688825693,WEAK
W32,-0.00539911767552135,0.00539911767552135,WEAK
W31,-0.004749533761495993,0.004749533761495993,WEAK
