sensor,spearman_r,absolute_spearman,signal
NRf,-0.2742309993511897,0.2742309993511897,WEAK
Ps30,-0.17445451046154448,0.17445451046154448,WEAK
T50,-0.17030579133553306,0.17030579133553306,WEAK
BPR,-0.16408889579764857,0.16408889579764857,WEAK
htBleed,-0.1246912556543203,0.1246912556543203,WEAK
T30,-0.12236611847481355,0.12236611847481355,WEAK
T24,-0.10550938174755083,0.10550938174755083,WEAK
NRc,-0.08307375351790193,0.08307375351790193,WEAK
farB,-0.0815483171809029,0.0815483171809029,WEAK
phi,0.07599260256379525,0.07599260256379525,WEAK
Nc,-0.07400663037698628,0.07400663037698628,WEAK
P30,0.06885016245040393,0.06885016245040393,WEAK
W31,0.06536723603291915,0.06536723603291915,WEAK
W32,0.06410144738992887,0.06410144738992887,WEAK
Nf,-0.062286409593420716,0.062286409593420716,WEAK
P15,-0.061607078568388644,0.061607078568388644,WEAK
PCNfR_dmd,0.017747794145286926,0.017747794145286926,WEAK
P2,-0.013707955452583121,0.013707955452583121,WEAK
T2,-0.011575033085600895,0.011575033085600895,WEAK
epr,0.005477763807144986,0.005477763807144986,WEAK
Nf_dmd,0.0009093269268753314,0.0009093269268753314,WEAK
