sensor,pearson_r,spearman_r,absolute_spearman,signal
Ps30,-0.8451914686477053,-0.7819580532694728,0.7819580532694728,STRONG
T50,-0.8118832786030075,-0.7495590866157801,0.7495590866157801,STRONG
NRf,-0.7551358544244395,-0.7431301845384669,0.7431301845384669,STRONG
Nf,-0.7526763175631037,-0.734477549897021,0.734477549897021,STRONG
htBleed,-0.7511444033525566,-0.6984388942407164,0.6984388942407164,STRONG
T30,-0.7131221227555581,-0.6630951641185185,0.6630951641185185,STRONG
T24,-0.7029237679327222,-0.6533111089347277,0.6533111089347277,STRONG
Nc,-0.6873514670312838,-0.624744883085039,0.624744883085039,STRONG
NRc,-0.6100083302773398,-0.5372339720360296,0.5372339720360296,MODERATE
epr,-0.5199610984363413,-0.4819864473431858,0.4819864473431858,MODERATE
P15,-0.08726937560398078,-0.14345287236803766,0.14345287236803766,WEAK
W32,0.06774547435696339,0.09138045652142045,0.09138045652142045,WEAK
W31,0.08254855597587168,0.09117196778902724,0.09117196778902724,WEAK
BPR,-0.019440054228057092,-0.07780567782028566,0.07780567782028566,WEAK
P30,-0.3294858257334755,0.04114286786781447,0.04114286786781447,WEAK
phi,-0.3486066410828746,0.03936149538217122,0.03936149538217122,WEAK
T2,0.0,0.0,0.0,WEAK
P2,-7.625556816966942e-17,0.0,0.0,WEAK
farB,0.0,0.0,0.0,WEAK
PCNfR_dmd,0.0,0.0,0.0,WEAK
Nf_dmd,0.0,0.0,0.0,WEAK
