sensor,spearman_r,absolute_spearman,signal
Ps30,-0.7035656758750721,0.7035656758750721,STRONG
T50,-0.6888726138195074,0.6888726138195074,STRONG
P30,0.6719912741040878,0.6719912741040878,STRONG
phi,0.6718021577470239,0.6718021577470239,STRONG
BPR,-0.6621238198367951,0.6621238198367951,STRONG
W31,0.6525656492064551,0.6525656492064551,STRONG
W32,0.6375584586223325,0.6375584586223325,STRONG
htBleed,-0.6317978111772233,0.6317978111772233,STRONG
T24,-0.6294039114197187,0.6294039114197187,STRONG
T30,-0.6093894495206054,0.6093894495206054,STRONG
Nf,-0.512311304762986,0.512311304762986,MODERATE
NRf,-0.5037434984740681,0.5037434984740681,MODERATE
Nc,-0.33722358401434915,0.33722358401434915,MODERATE
NRc,-0.248512597660364,0.248512597660364,WEAK
P15,-0.10111383051297933,0.10111383051297933,WEAK
P2,0.0,0.0,WEAK
T2,0.0,0.0,WEAK
epr,0.0,0.0,WEAK
farB,0.0,0.0,WEAK
PCNfR_dmd,0.0,0.0,WEAK
Nf_dmd,0.0,0.0,WEAK
