engine_id,cycle,mach,altitude_ft,throttle_proxy_pct,true_airspeed_mps,cycle_duration_s,flight_time_s_cumulative,flight_time_min_cumulative,flight_distance_nm
1,30,0.6759999999999999,24289.655172413793,85.03590906877781,209.95191543550573,30.0,790.291937455909,13.171532290931816,3.400948954138862
2,30,0.6646666666666666,25524.137931034482,82.76580453277782,205.37759973385008,30.0,783.7281249953264,13.062135416588774,3.3268509676109623
3,30,0.6683333333333333,23582.758620689656,94.48238338500005,208.1754867897258,30.0,792.9506605109589,13.215844341849314,3.3721731121445866
4,30,0.6756666666666666,24629.310344827587,82.44916264738886,209.55402382888246,30.0,799.5389307828465,13.325648846380775,3.394503625737837
5,30,0.6703333333333333,23444.827586206895,82.6566774268889,208.91659050833397,30.0,785.8445132252183,13.097408553753638,3.384178031992451
6,30,0.65,25477.58620689655,83.35956711049995,200.88467682081784,30.0,780.8643664467456,13.01440610744576,3.2540714387821468
7,30,0.6543333333333333,24662.068965517243,85.46543879527775,202.91010124903994,30.0,770.7208195122727,12.845346991871212,3.2868806897792644
8,30,0.6673333333333333,24303.44827586207,84.88444042744446,207.2484256809533,30.0,793.8980842601295,13.231634737668825,3.3571559235575585
9,30,0.6723333333333333,24772.41379310345,85.84053339666664,208.39667696139568,30.0,774.6430013310147,12.910716688850245,3.375756106286107
10,30,0.66,25458.620689655174,83.6499737172778,203.99133316432014,30.0,788.6882647235102,13.144804412058503,3.304395245642335
