engine_id,cycle,overall_RUL_cycles,overall_health_score,bearing_risk_score,bearing_status,cycle_duration_s,flight_time_min_cumulative,mach,altitude_ft,throttle_proxy_pct,overall_status,overall_maintenance_recommendation
1,30,83.00885495440781,56.833608258490976,49.71301531897186,WARNING,30.0,13.171532290931816,0.6759999999999999,24289.655172413793,85.03590906877781,WARNING,ATTENTION: SCHEDULE PREVENTIVE BEARING / ENGINE INSPECTION
2,30,85.32042855787772,58.22217019886905,47.21663032589291,WARNING,30.0,13.062135416588774,0.6646666666666666,25524.137931034482,82.76580453277782,WARNING,ATTENTION: SCHEDULE PREVENTIVE BEARING / ENGINE INSPECTION
3,30,60.57385886059113,43.08747897433438,59.259801712004226,CRITICAL,30.0,13.215844341849314,0.6683333333333333,23582.758620689656,94.48238338500005,CRITICAL,URGENT: ENGINEERING INSPECTION — bearing vibration materially affects health/RUL
4,30,94.68213069873278,63.75422278443078,48.6169928054924,WARNING,30.0,13.325648846380775,0.6756666666666666,24629.310344827587,82.44916264738886,WARNING,ATTENTION: SCHEDULE PREVENTIVE BEARING / ENGINE INSPECTION
5,30,94.63269486579189,63.71431536617422,47.41806794910716,WARNING,30.0,13.097408553753638,0.6703333333333333,23444.827586206895,82.6566774268889,WARNING,ATTENTION: SCHEDULE PREVENTIVE BEARING / ENGINE INSPECTION
6,30,84.35611466864157,57.65766632630472,46.77583291874995,WATCH,30.0,13.01440610744576,0.65,25477.58620689655,83.35956711049995,DEGRADING,WATCH: INCREASED VIBRATION MONITORING AND PLAN INSPECTION
7,30,88.03301205770259,59.816852314097815,49.84582653432742,WARNING,30.0,12.845346991871212,0.6543333333333333,24662.068965517243,85.46543879527775,WARNING,ATTENTION: SCHEDULE PREVENTIVE BEARING / ENGINE INSPECTION
8,30,97.21764054183186,65.29867813008835,51.49697221866273,WARNING,30.0,13.231634737668825,0.6673333333333333,24303.44827586207,84.88444042744446,WARNING,ATTENTION: SCHEDULE PREVENTIVE BEARING / ENGINE INSPECTION
9,30,48.452211714060624,36.2277734843227,50.98794798115346,WARNING,30.0,12.910716688850245,0.6723333333333333,24772.41379310345,85.84053339666664,WARNING,ATTENTION: SCHEDULE PREVENTIVE BEARING / ENGINE INSPECTION
10,30,87.11266289503247,59.27311446676882,48.73804065259236,WARNING,30.0,13.144804412058503,0.66,25458.620689655174,83.6499737172778,WARNING,ATTENTION: SCHEDULE PREVENTIVE BEARING / ENGINE INSPECTION
